#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 419
numEdges = 1086
usedAlgorithm = null
dataSource = MultiVarDataSet
numOfFeatures = 8
truth_features = null
END
#################################################################
SECTION2 (Nodes Information)
NodeID 2_pagerank 2_triangle_count 2_core_id 2_color_id 2_component_id 2_component_size 2_out_degree 2_in_degree
5379701 0.164417 0.000000 2.000000 0.000000 654110.000000 982462.000000 0.000000 2.000000
3291810 1.815130 87.000000 10.000000 1.000000 654110.000000 982462.000000 14.000000 74.000000
4517320 1.775230 87.000000 10.000000 4.000000 654110.000000 982462.000000 27.000000 49.000000
5599411 0.213750 0.000000 1.000000 0.000000 49900.000000 3.000000 0.000000 1.000000
1464982 1.907850 0.000000 10.000000 3.000000 654110.000000 982462.000000 55.000000 66.000000
1771061 1.412040 1.000000 10.000000 1.000000 654110.000000 982462.000000 40.000000 26.000000
1766593 0.645424 0.000000 10.000000 4.000000 654110.000000 982462.000000 0.000000 25.000000
4873898 0.460918 0.000000 10.000000 0.000000 654110.000000 982462.000000 4.000000 17.000000
2601451 0.361105 0.000000 5.000000 3.000000 654110.000000 982462.000000 2.000000 5.000000
3491545 0.260870 10.000000 10.000000 0.000000 654110.000000 982462.000000 20.000000 10.000000
1264503 8.836460 118.000000 10.000000 9.000000 654110.000000 982462.000000 312.000000 410.000000
902359 0.461331 0.000000 4.000000 1.000000 654110.000000 982462.000000 0.000000 5.000000
316982 1.194770 0.000000 10.000000 6.000000 654110.000000 982462.000000 264.000000 64.000000
5168233 0.277500 0.000000 1.000000 1.000000 226144.000000 2.000000 0.000000 1.000000
2120554 0.175500 0.000000 1.000000 1.000000 1299235.000000 6.000000 0.000000 1.000000
4353958 0.365533 0.000000 2.000000 1.000000 300635.000000 3.000000 3.000000 1.000000
2234529 0.758115 0.000000 5.000000 2.000000 654110.000000 982462.000000 0.000000 13.000000
1405452 2.086600 13.000000 10.000000 6.000000 654110.000000 982462.000000 70.000000 64.000000
4630531 3.111510 0.000000 10.000000 2.000000 654110.000000 982462.000000 18.000000 40.000000
2037473 1.769180 90.000000 10.000000 2.000000 654110.000000 982462.000000 32.000000 51.000000
376 0.150000 0.000000 2.000000 1.000000 654110.000000 982462.000000 3.000000 0.000000
2511197 1.322430 8.000000 10.000000 3.000000 654110.000000 982462.000000 25.000000 58.000000
3738621 0.167517 0.000000 1.000000 0.000000 654110.000000 982462.000000 0.000000 1.000000
321127 0.624194 6.000000 10.000000 5.000000 654110.000000 982462.000000 28.000000 26.000000
1484693 0.239350 0.000000 5.000000 2.000000 654110.000000 982462.000000 0.000000 5.000000
3756431 0.516904 0.000000 2.000000 0.000000 654110.000000 982462.000000 0.000000 2.000000
3525772 0.580719 7.000000 10.000000 1.000000 654110.000000 982462.000000 20.000000 15.000000
3564507 0.415718 0.000000 2.000000 1.000000 654110.000000 982462.000000 0.000000 6.000000
3205387 0.188508 0.000000 2.000000 0.000000 654110.000000 982462.000000 1.000000 1.000000
415 0.593905 0.000000 10.000000 1.000000 654110.000000 982462.000000 23.000000 17.000000
5150654 0.441346 0.000000 10.000000 0.000000 654110.000000 982462.000000 0.000000 18.000000
278667 0.272091 0.000000 3.000000 0.000000 654110.000000 982462.000000 0.000000 6.000000
4916848 2.238970 27.000000 10.000000 5.000000 654110.000000 982462.000000 135.000000 77.000000
4948604 0.759536 0.000000 10.000000 1.000000 654110.000000 982462.000000 25.000000 7.000000
504 0.316545 2.000000 10.000000 0.000000 654110.000000 982462.000000 26.000000 7.000000
47 0.618181 0.000000 10.000000 0.000000 654110.000000 982462.000000 3.000000 15.000000
4799862 0.330928 0.000000 10.000000 0.000000 654110.000000 982462.000000 0.000000 11.000000
2999027 1.362270 64.000000 10.000000 0.000000 654110.000000 982462.000000 24.000000 45.000000
3335900 0.175500 0.000000 1.000000 0.000000 654110.000000 982462.000000 0.000000 1.000000
2976028 8.294810 2.000000 10.000000 3.000000 654110.000000 982462.000000 47.000000 168.000000
3904460 0.154232 0.000000 1.000000 0.000000 654110.000000 982462.000000 0.000000 1.000000
3897251 0.827968 0.000000 10.000000 2.000000 654110.000000 982462.000000 27.000000 23.000000
3895523 0.331273 0.000000 10.000000 0.000000 654110.000000 982462.000000 0.000000 12.000000
3002173 0.586861 0.000000 3.000000 1.000000 654110.000000 982462.000000 0.000000 3.000000
3197072 2.490460 49.000000 10.000000 3.000000 654110.000000 982462.000000 74.000000 89.000000
584571 0.776215 8.000000 10.000000 0.000000 654110.000000 982462.000000 30.000000 28.000000
